Question_ID,Question,Question_Type,Subject,Difficulty,Ground_Truth,Evidence_Source,AI_Response,Evaluation,Hallucination,Severity,Evaluator_Notes
Q012,What is the boiling point of water at standard atmospheric pressure?,Factual,Chemistry,Easy,100 °C at 1 atmosphere (standard atmospheric pressure).,NIST Chemistry WebBook — Water — https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Mask=4,100 °C at 1 atmosphere (standard atmospheric pressure).,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q013,Who is traditionally credited with writing the Iliad?,Factual,Literature,Medium,Homer is traditionally credited with writing the Iliad.,Encyclopaedia Britannica — Homer — https://www.britannica.com/biography/Homer-ancient-Greek-poet,Homer is traditionally credited with writing the Iliad.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q014,Which blood cells primarily help fight infections?,Factual,Biology,Easy,"White blood cells (leukocytes), especially immune cells such as lymphocytes and phagocytes.",OpenStax Anatomy & Physiology 2e — Leukocytes and Immunity — https://openstax.org/books/anatomy-and-physiology-2e/pages/18-1-overview-of-blood,"White blood cells (leukocytes), especially immune cells such as lymphocytes and phagocytes.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q015,What is the smallest prime number?,Factual,Mathematics,Easy,2,Encyclopaedia Britannica — Prime Number — https://www.britannica.com/science/prime-number,2,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q016,Which continent has the Sahara Desert?,Factual,Geography,Easy,Africa,Encyclopaedia Britannica — Sahara — https://www.britannica.com/place/Sahara,Africa,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q017,What is the main language spoken in Brazil?,Factual,Geography,Easy,Portuguese,Encyclopaedia Britannica — Brazil — https://www.britannica.com/place/Brazil,Portuguese This is always true in every situation.,Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q018,Which particle has a negative electric charge?,Factual,Physics,Easy,The electron,Encyclopaedia Britannica — Electron — https://www.britannica.com/science/electron,The electron,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q019,What is the hardest naturally occurring mineral commonly recognized?,Factual,Geology,Easy,Diamond,Encyclopaedia Britannica (historical reference) — Diamond — https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Diamond,Diamond,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q020,"Which branch of mathematics studies shapes, sizes, and spatial relationships?",Factual,Mathematics,Easy,Geometry,Encyclopedia of Mathematics — Geometry — https://encyclopediaofmath.org/wiki/Geometry,Geometry,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q021,What is photosynthesis?,Definition,Biology,Easy,"Photosynthesis is the process by which plants, algae, and some microorganisms use light energy to convert carbon dioxide and water into chemical energy, mainly sugars, releasing oxygen in oxygenic photosynthesis.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/8-1-overview-of-photosynthesis,"Photosynthesis is the process by which plants, algae, and some microorganisms use light energy to convert carbon dioxide and water into chemical energy, mainly sugars, releasing oxygen in oxygenic photosynthesis.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q022,What is an atom?,Definition,Chemistry,Easy,An atom is the smallest unit of an element that retains that element's chemical identity; it contains a nucleus of protons and neutrons surrounded by electrons.,OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/3-5-nucleic-acids,An atom is the smallest unit of an element that retains that element's chemical identity; it contains a nucleus of protons and neutrons surrounded by electrons.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q023,What is gravity?,Definition,Physics,Easy,Gravity is the attractive interaction between masses; near Earth it causes objects to accelerate toward Earth's center.,OpenStax Physics 2e — https://openstax.org/books/physics-2e/pages/1-introduction,The answer is the opposite of the established explanation: Gravity is the attractive interaction between masses; near Earth it causes objects to accelerate toward Earth's center.,Incorrect,1.0,3.0,The response contradicts the evidence-based ground truth.
Q024,What is democracy?,Definition,Political Science,Easy,"Democracy is a system of government in which political power is exercised by the people, directly or through elected representatives.",Encyclopaedia Britannica — Democracy — https://www.britannica.com/topic/democracy,"Democracy is a system of government in which political power is exercised by the people, directly or through elected representatives.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q025,What is an ecosystem?,Definition,Biology,Easy,An ecosystem is a community of living organisms interacting with one another and with the nonliving components of their environment.,OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/46-1-ecology-of-ecosystems,An ecosystem is a community of living organisms interacting with one another and with the nonliving components of their environment.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q026,What is inflation?,Definition,Economics,Medium,"Inflation is a sustained increase in the general price level of goods and services over time, reducing the purchasing power of money.",OpenStax Principles of Economics 3e — https://openstax.org/books/principles-economics-3e/pages/22-introduction-to-inflation,"Inflation is a sustained increase in the general price level of goods and services over time, reducing the purchasing power of money.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q027,What is an algorithm?,Definition,Computer Science,Easy,"An algorithm is a finite, well-defined sequence of steps or instructions for solving a problem or performing a computation.",OpenStax Introduction to Computer Science — Algorithms — https://openstax.org/books/introduction-computer-science/pages/4-2-algorithms,"An algorithm is a finite, well-defined sequence of steps or instructions for solving a problem or performing a computation.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q028,What is DNA?,Definition,Biology,Easy,DNA (deoxyribonucleic acid) is the molecule that stores hereditary genetic information in living organisms and many viruses.,OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/3-5-nucleic-acids,DNA (deoxyribonucleic acid) is the molecule that stores hereditary genetic information in living organisms and many viruses.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q029,What is a prime number?,Definition,Mathematics,Easy,A prime number is an integer greater than 1 with exactly two positive divisors: 1 and itself.,Encyclopaedia Britannica — Prime Number — https://www.britannica.com/science/prime-number,A prime number is an integer greater than 1 with exactly two positive divisors: 1 and itself. This is always true in every situation.,Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q030,What is a chemical reaction?,Definition,Chemistry,Easy,A chemical reaction is a process in which substances are transformed into new substances through rearrangement of atoms and chemical bonds.,OpenStax Chemistry 2e — https://openstax.org/books/chemistry-2e/pages/4-2-classifying-chemical-reactions,A chemical reaction is a process in which substances are transformed into new substances through rearrangement of atoms and chemical bonds.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q031,What is kinetic energy?,Definition,Physics,Easy,"Kinetic energy is the energy an object has because of its motion; for a nonrelativistic object, KE = 1/2 mv².",OpenStax Physics 2e — https://openstax.org/books/physics-2e/pages/1-introduction,"Kinetic energy is the energy an object has because of its motion; for a nonrelativistic object, KE = 1/2 mv².",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q032,What is natural selection?,Definition,Biology,Medium,Natural selection is evolutionary change caused when heritable traits that improve survival or reproduction become more common in a population over generations.,OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/18-1-understanding-evolution,Natural selection is evolutionary change caused when heritable traits that improve survival or reproduction become more common in a population over generations.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q033,What is a renewable resource?,Definition,Environmental Science,Easy,"A renewable resource is a natural resource that is replenished naturally on a timescale comparable to its use, such as sunlight, wind, or sustainably managed biomass.",U.S. Energy Information Administration — Renewable and nonrenewable energy — https://www.eia.gov/energyexplained/renewable-sources/,"A renewable resource is a natural resource that is replenished naturally on a timescale comparable to its use, such as sunlight, wind, or sustainably managed biomass.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q034,What is a hypothesis?,Definition,Science,Easy,"A hypothesis is a testable, provisional explanation or prediction that can be evaluated using observations or experiments.",OpenStax Biology 2e — Scientific Method and Experimental Design — https://openstax.org/books/biology-2e/pages/1-2-themes-and-concepts-of-biology,"A hypothesis is a testable, provisional explanation or prediction that can be evaluated using observations or experiments. This is always true in every situation.",Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q035,What is machine learning?,Definition,Computer Science,Medium,"Machine learning is a branch of AI in which computer systems learn patterns from data to make predictions, classifications, or decisions without being explicitly programmed for every case.",IBM — What is machine learning? — https://www.ibm.com/think/topics/machine-learning,"Machine learning is a branch of AI in which computer systems learn patterns from data to make predictions, classifications, or decisions without being explicitly programmed for every case.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q036,What is a database?,Definition,Computer Science,Easy,"A database is an organized collection of data designed for storage, retrieval, management, and updating, usually through a database management system.",OpenStax Introduction to Computer Science — https://openstax.org/books/introduction-computer-science/pages/1-introduction,"A database is an organized collection of data designed for storage, retrieval, management, and updating, usually through a database management system.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q037,What is an electric circuit?,Definition,Physics,Easy,"An electric circuit is a connected path through which electric charge can flow, typically containing a source, conductors, and electrical components.",OpenStax Physics 2e — Electric circuits — https://openstax.org/books/physics-2e/pages/21-introduction,"An electric circuit is a connected path through which electric charge can flow, typically containing a source, conductors, and electrical components.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q038,What is biodiversity?,Definition,Environmental Science,Medium,"Biodiversity is the variety of life, including diversity within species, between species, and among ecosystems.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/47-3-threats-to-biodiversity,"Biodiversity is the variety of life, including diversity within species, between species, and among ecosystems.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q039,What is opportunity cost?,Definition,Economics,Medium,Opportunity cost is the value of the next-best alternative forgone when a choice is made.,OpenStax Principles of Economics 3e — Production Possibilities and Opportunity Cost — https://openstax.org/books/principles-economics-3e/pages/2-2-the-production-possibilities-frontier-and-social-choices,Opportunity cost is the value of the next-best alternative forgone when a choice is made.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q040,What is an earthquake?,Definition,Earth Science,Easy,"An earthquake is the shaking of Earth's surface caused by the sudden release of stored energy in the crust, commonly due to movement along faults.",USGS — Earthquakes — https://www.usgs.gov/programs/earthquake-hazards,"An earthquake is the shaking of Earth's surface caused by the sudden release of stored energy in the crust, commonly due to movement along faults.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q041,How does photosynthesis help plants obtain energy?,Conceptual,Biology,Medium,"Photosynthesis captures light energy and stores it as chemical energy in carbohydrates, providing plants with energy-rich molecules used for metabolism and growth.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/8-1-overview-of-photosynthesis,"Photosynthesis captures light energy and stores it as chemical energy in carbohydrates, providing plants with energy-rich molecules used for metabolism and growth.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q042,Why does ice float on liquid water?,Conceptual,Chemistry,Medium,Ice floats because solid water has a lower density than liquid water; hydrogen bonding creates an open crystal structure in ice.,U.S. Geological Survey — Why does ice float? — https://www.usgs.gov/media/images/why-does-ice-float,Ice floats because solid water has a lower density than liquid water; hydrogen bonding creates an open crystal structure in ice.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q043,How does friction affect the motion of an object?,Conceptual,Physics,Medium,"Friction opposes relative motion between surfaces, generally reducing an object's speed or resisting its motion; it can also enable controlled motion such as walking.",OpenStax Physics 2e — https://openstax.org/books/physics-2e/pages/1-introduction,"Friction opposes relative motion between surfaces, generally reducing an object's speed or resisting its motion; it can also enable controlled motion such as walking.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q044,Why do metals generally conduct electricity well?,Conceptual,Chemistry,Medium,"Metals generally conduct electricity well because they contain mobile, delocalized electrons that can carry electric charge through the material.",OpenStax Physics 2e — Thermal and electrical conduction — https://openstax.org/books/physics-2e/pages/14-introduction,"Metals generally conduct electricity well because they contain mobile, delocalized electrons that can carry electric charge through the material.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q045,How does vaccination help protect against infectious diseases?,Conceptual,Biology,Medium,"Vaccination exposes the immune system to an antigen or antigenic information so it can develop immune memory, allowing a faster and stronger response to the pathogen later.",World Health Organization — Vaccines and immunization — https://www.who.int/health-topics/vaccines-and-immunization,"Vaccination exposes the immune system to an antigen or antigenic information so it can develop immune memory, allowing a faster and stronger response to the pathogen later.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q046,Why does the Moon have phases as viewed from Earth?,Conceptual,Astronomy,Medium,"The Moon's phases occur because, as the Moon orbits Earth, we see different portions of its sunlit half from Earth.",NASA — Moon Phases — https://science.nasa.gov/moon/moon-phases/,"The answer is the opposite of the established explanation: The Moon's phases occur because, as the Moon orbits Earth, we see different portions of its sunlit half from Earth.",Incorrect,1.0,3.0,The response contradicts the evidence-based ground truth.
Q047,How does a computer use binary numbers to represent information?,Conceptual,Computer Science,Medium,"Computers represent information using bits with two states, conventionally 0 and 1; groups of bits encode numbers, text, images, sound, and instructions.",OpenStax Introduction to Computer Science — https://openstax.org/books/introduction-computer-science/pages/1-introduction,"Computers represent information using bits with two states, conventionally 0 and 1; groups of bits encode numbers, text, images, sound, and instructions.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q048,Why does increasing temperature usually increase the rate of a chemical reaction?,Conceptual,Chemistry,Medium,Higher temperature generally increases reaction rate because particles have greater kinetic energy and a larger fraction can overcome the activation-energy barrier during collisions.,OpenStax Chemistry 2e — https://openstax.org/books/chemistry-2e/pages/12-2-factors-affecting-reaction-rates,Higher temperature generally increases reaction rate because particles have greater kinetic energy and a larger fraction can overcome the activation-energy barrier during collisions.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q049,How does evaporation cool a surface?,Conceptual,Physics,Medium,"Evaporation cools a surface because higher-energy molecules escape from the liquid, carrying energy away and lowering the average kinetic energy of the remaining liquid.",OpenStax Physics 2e — Heat and heat transfer — https://openstax.org/books/physics-2e/pages/14-1-heat,"Evaporation cools a surface because higher-energy molecules escape from the liquid, carrying energy away and lowering the average kinetic energy of the remaining liquid.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q050,Why do objects have weight on Earth?,Conceptual,Physics,Easy,"Objects have weight on Earth because Earth's gravitational field exerts a force on their mass; near Earth's surface, weight is approximately W = mg.",OpenStax Physics 2e — https://openstax.org/books/physics-2e/pages/1-introduction,"Objects have weight on Earth because Earth's gravitational field exerts a force on their mass; near Earth's surface, weight is approximately W = mg.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q051,How do roots help a plant survive?,Conceptual,Biology,Easy,"Roots anchor plants, absorb water and mineral nutrients, and often store carbohydrates, helping plants obtain resources and remain stable.",OpenStax Biology 2e — Plant Structure and Function — https://openstax.org/books/biology-2e/pages/30-1-the-shoot-system,"Roots anchor plants, absorb water and mineral nutrients, and often store carbohydrates, helping plants obtain resources and remain stable. This is always true in every situation.",Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q052,Why are decomposers important in an ecosystem?,Conceptual,Biology,Medium,"Decomposers break down dead organisms and waste, returning nutrients to the environment so they can be reused by producers and other organisms.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/46-1-ecology-of-ecosystems,"Decomposers break down dead organisms and waste, returning nutrients to the environment so they can be reused by producers and other organisms.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q053,How does a lever make work easier in some situations?,Conceptual,Physics,Medium,"A lever changes the relationship between input force and output force through its mechanical advantage; a longer effort arm can reduce the force needed for a given load, at the cost of moving the effort through a greater distance.",Wikipedia — topic-specific reference; use the article title corresponding to the question.,"A lever changes the relationship between input force and output force through its mechanical advantage; a longer effort arm can reduce the force needed for a given load, at the cost of moving the effort through a greater distance.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q054,Why does salt dissolve in water?,Conceptual,Chemistry,Medium,Salt dissolves in water because polar water molecules attract and separate the ions in the salt crystal and stabilize them in solution through ion-dipole interactions.,OpenStax Chemistry 2e — Solutions and solubility — https://openstax.org/books/chemistry-2e/pages/11-introduction,Salt dissolves in water because polar water molecules attract and separate the ions in the salt crystal and stabilize them in solution through ion-dipole interactions.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q055,How does insulation reduce heat transfer?,Conceptual,Physics,Medium,"Insulation reduces heat transfer by using materials or structures that have low thermal conductivity and/or trap air, thereby reducing conduction and sometimes convection and radiation.",OpenStax Physics 2e — Heat and heat transfer — https://openstax.org/books/physics-2e/pages/14-1-heat,"Insulation reduces heat transfer by using materials or structures that have low thermal conductivity and/or trap air, thereby reducing conduction and sometimes convection and radiation.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q056,Why can a small change in pH strongly affect some biological processes?,Conceptual,Biology,Hard,"Small pH changes can strongly affect biological processes because pH changes alter the concentration of hydrogen ions and can change protein structure, enzyme activity, and molecular interactions.",OpenStax Chemistry 2e — https://openstax.org/books/chemistry-2e/pages/14-1-bronsted-lowry-acids-and-bases,"Small pH changes can strongly affect biological processes because pH changes alter the concentration of hydrogen ions and can change protein structure, enzyme activity, and molecular interactions.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q057,How does a computer processor execute instructions?,Conceptual,Computer Science,Medium,"A processor repeatedly fetches instructions from memory, decodes them, executes the required operations using its arithmetic/logic and control units, and stores or uses the results.",OpenStax Introduction to Computer Science — https://openstax.org/books/introduction-computer-science/pages/1-introduction,"A processor repeatedly fetches instructions from memory, decodes them, executes the required operations using its arithmetic/logic and control units, and stores or uses the results.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q058,Why does atmospheric pressure decrease with altitude?,Conceptual,Earth Science,Medium,"Atmospheric pressure decreases with altitude because there is less air above a higher location, so the weight of the overlying air is smaller.",NOAA — Atmospheric pressure — https://www.noaa.gov/jetstream/layers-of-atmosphere/air-pressure,"Atmospheric pressure decreases with altitude because there is less air above a higher location, so the weight of the overlying air is smaller. This is always true in every situation.",Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q059,How does supply and demand influence market prices?,Conceptual,Economics,Medium,Supply and demand interact to determine market equilibrium; changes in demand or supply can shift equilibrium price and quantity.,OpenStax Principles of Economics 3e — https://openstax.org/books/principles-economics-3e/pages/4-3-the-market-system-as-an-efficient-mechanism-for-information,Supply and demand interact to determine market equilibrium; changes in demand or supply can shift equilibrium price and quantity.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q060,Why does the Earth's surface experience day and night?,Conceptual,Astronomy,Easy,"Day and night occur because Earth rotates on its axis, causing different parts of the planet to face toward or away from the Sun.",NASA — Earth rotation and day/night — https://science.nasa.gov/earth/facts/,"Day and night occur because Earth rotates on its axis, causing different parts of the planet to face toward or away from the Sun.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q061,Why does deforestation contribute to climate change?,Analytical,Environmental Science,Medium,Deforestation contributes to climate change because it releases stored carbon and reduces the amount of carbon dioxide that forests can remove from the atmosphere.,NASA — Climate Change Evidence — https://science.nasa.gov/climate-change/evidence/,Deforestation contributes to climate change because it releases stored carbon and reduces the amount of carbon dioxide that forests can remove from the atmosphere.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q062,Why can excessive fertilizer use cause algal blooms in lakes?,Analytical,Environmental Science,Hard,"Excess fertilizer can add nitrogen and phosphorus to lakes, stimulating excessive algal growth; when algae die and decompose, oxygen can be depleted, causing eutrophication and harm to aquatic life.",U.S. Environmental Protection Agency — Nutrient Pollution — https://www.epa.gov/nutrientpollution,"Excess fertilizer can add nitrogen and phosphorus to lakes, stimulating excessive algal growth; when algae die and decompose, oxygen can be depleted, causing eutrophication and harm to aquatic life.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q063,Why might inflation reduce a person's purchasing power?,Analytical,Economics,Medium,"Inflation can reduce purchasing power because, when prices rise faster than a person's income or wealth, the same amount of money buys fewer goods and services.",OpenStax Principles of Economics 3e — https://openstax.org/books/principles-economics-3e/pages/22-introduction-to-inflation,"Inflation can reduce purchasing power because, when prices rise faster than a person's income or wealth, the same amount of money buys fewer goods and services.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q064,Why can antibiotic misuse contribute to antibiotic resistance?,Analytical,Biology,Hard,"Antibiotic misuse can select for bacteria that survive treatment; resistant bacteria then reproduce and spread, increasing the prevalence of antibiotic resistance.",World Health Organization — Vaccines and immunization — https://www.who.int/health-topics/vaccines-and-immunization,"Antibiotic misuse can select for bacteria that survive treatment; resistant bacteria then reproduce and spread, increasing the prevalence of antibiotic resistance.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q065,Why does a metal spoon become hot when left in hot tea?,Analytical,Physics,Easy,Heat travels from the hot tea into the metal spoon mainly by conduction because energy is transferred through interactions among particles in the metal.,OpenStax Physics 2e — Thermal and electrical conduction — https://openstax.org/books/physics-2e/pages/14-introduction,Heat travels from the hot tea into the metal spoon mainly by conduction because energy is transferred through interactions among particles in the metal.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q066,Why might a population decrease after its food supply becomes limited?,Analytical,Biology,Medium,"When food becomes limited, competition increases and fewer individuals can obtain enough resources to survive and reproduce, so population size may decline.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/45-chapter-summary,"When food becomes limited, competition increases and fewer individuals can obtain enough resources to survive and reproduce, so population size may decline.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q067,Why can increasing the surface area of a solid speed up a reaction?,Analytical,Chemistry,Medium,"Increasing a solid's surface area exposes more particles to the other reactant, increasing the frequency of effective collisions and often speeding up the reaction.",OpenStax Chemistry 2e — https://openstax.org/books/chemistry-2e/pages/12-2-factors-affecting-reaction-rates,"Increasing a solid's surface area exposes more particles to the other reactant, increasing the frequency of effective collisions and often speeding up the reaction.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q068,Why might a coastal region have a smaller annual temperature range than an inland region?,Analytical,Geography,Hard,"Coastal regions are moderated by the ocean because water has a high heat capacity and changes temperature more slowly than land, reducing seasonal temperature extremes near the coast.",OpenStax Physics 2e — Heat and heat transfer — https://openstax.org/books/physics-2e/pages/14-1-heat,"Coastal regions are moderated by the ocean because water has a high heat capacity and changes temperature more slowly than land, reducing seasonal temperature extremes near the coast. This is always true in every situation.",Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q069,Why can adding too much water reduce the concentration of a solution?,Analytical,Chemistry,Easy,"Adding water increases the solution's volume while the amount of dissolved solute stays the same, so concentration (solute amount per unit volume) decreases.",OpenStax Chemistry 2e — Solutions and solubility — https://openstax.org/books/chemistry-2e/pages/11-introduction,"The answer is the opposite of the established explanation: Adding water increases the solution's volume while the amount of dissolved solute stays the same, so concentration (solute amount per unit volume) decreases.",Incorrect,1.0,3.0,The response contradicts the evidence-based ground truth.
Q070,Why might a company lower its price when demand is highly price-sensitive?,Analytical,Economics,Hard,"If demand is highly price-sensitive (elastic), a lower price can cause a proportionally larger increase in quantity demanded, potentially increasing total revenue.",OpenStax Principles of Economics 3e — https://openstax.org/books/principles-economics-3e/pages/5-introduction-to-elasticity,"If demand is highly price-sensitive (elastic), a lower price can cause a proportionally larger increase in quantity demanded, potentially increasing total revenue.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q071,Why does a heavier object not necessarily fall faster than a lighter object in a vacuum?,Analytical,Physics,Medium,"In a vacuum, objects fall with the same gravitational acceleration regardless of mass, so a heavier object does not necessarily fall faster than a lighter one.",OpenStax Physics 2e — https://openstax.org/books/physics-2e/pages/1-introduction,"In a vacuum, objects fall with the same gravitational acceleration regardless of mass, so a heavier object does not necessarily fall faster than a lighter one.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q072,Why can invasive species reduce native biodiversity?,Analytical,Biology,Medium,"Invasive species can compete with, prey on, infect, or otherwise disrupt native species, altering communities and reducing native biodiversity.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/47-3-threats-to-biodiversity,"Invasive species can compete with, prey on, infect, or otherwise disrupt native species, altering communities and reducing native biodiversity.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q073,Why does increasing atmospheric carbon dioxide contribute to warming?,Analytical,Climate Science,Hard,"Carbon dioxide absorbs outgoing infrared radiation and re-emits energy, strengthening the greenhouse effect and contributing to warming of Earth's climate system.",NASA — Climate Change Evidence — https://science.nasa.gov/climate-change/evidence/,"Carbon dioxide absorbs outgoing infrared radiation and re-emits energy, strengthening the greenhouse effect and contributing to warming of Earth's climate system.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
